"","shallow","deep","SD","meanW100"
"1",0,"5",0.0306613371338482,0.418181213111111
"2",105,"110",0.00747907732549552,0.410591838333333
"3",107,"112",0.00918659519154954,0.396145396666667
"4",115,"120",0.0014710327122839,0.375274615333333
"5",120,"125",0.00738632516193625,0.383529725166667
"6",134,"139",0.00164794520246154,0.379435457
"7",135,"140",0.0124634755515737,0.426534564333333
"8",155,"150",0.00730710122976609,0.348345649333333
"9",155,"160",0.00778589400868354,0.406331136333333
"10",165,"170",0.0123299912320586,0.384528326833333
"11",25,"30",0.00731801044690161,0.396112109666667
"12",35,"40",0.0124986249049406,0.361627055333333
"13",40,"45",0.00568092457477186,0.416949604
"14",41,"46",0.00959922629377244,0.383096997333333
"15",45,"50",0.00854626738892303,0.338958791333333
"16",50,"55",0.0299170656997335,0.368151255
"17",65,"70",0.0021999483370462,0.375640769333333
"18",70,"75",0.00463136771084287,0.3552193595
"19",75,"80",0.0151797349299126,0.381366087666667
"20",80,"85",0.0122492009376574,0.392583716333333
"21",95,"100",0.00358987774089957,0.392417282666667
