"DayMoYr","Rain.mm","time"
2016-03-25,6.8,1
2016-03-26,0.2,2
2016-03-27,0,3
2016-03-28,3.4,4
2016-03-29,0.6,5
2016-03-30,18,6
2016-03-31,8.6,7
2016-04-01,3.2,8
2016-04-02,0,9
2016-04-03,0.8,10
2016-04-04,2.8,11
2016-04-05,10.2,12
2016-04-06,1,13
2016-04-07,0.8,14
2016-04-08,0,15
2016-04-09,0,16
2016-04-10,0,17
2016-04-11,0,18
2016-04-12,3,19
2016-04-13,0,20
2016-04-14,0.2,21
2016-04-15,5.2,22
2016-04-16,18,23
2016-04-17,9.4,24
2016-04-18,0.8,25
2016-04-19,0,26
2016-04-20,0,27
2016-04-21,0,28
2016-04-22,0,29
2016-04-23,1.8,30
2016-04-24,0.6,31
2016-04-25,0.2,32
2016-04-26,6.4,33
2016-04-27,1,34
2016-04-28,2,35
2016-04-29,0.2,36
2016-04-30,14.6,37
2016-05-01,17,38
2016-05-02,0,39
2016-05-03,5.2,40
2016-05-04,0.2,41
2016-05-05,0,42
2016-05-06,0,43
2016-05-07,0,44
2016-05-08,0,45
2016-05-09,0,46
2016-05-10,4.8,47
2016-05-11,18.2,48
2016-05-12,20,49
2016-05-13,8.4,50
2016-05-14,0.2,51
2016-05-15,0,52
2016-05-16,2.6,53
2016-05-17,0,54
2016-05-18,3.2,55
2016-05-19,2.4,56
2016-05-20,0.2,57
2016-05-21,0,58
2016-05-22,1.8,59
2016-05-23,8,60
2016-05-24,0.6,61
2016-05-25,0,62
2016-05-26,0,63
2016-05-27,1.2,64
2016-05-28,1.2,65
2016-05-29,21.2,66
2016-05-30,20.6,67
2016-05-31,0,68
2016-06-01,0.8,69
2016-06-02,5,70
2016-06-03,15.2,71
2016-06-04,18,72
2016-06-05,0.2,73
2016-06-06,0,74
2016-06-07,0.8,75
2016-06-08,8.6,76
2016-06-09,0.8,77
2016-06-10,0.2,78
2016-06-11,1.6,79
2016-06-12,11.8,80
2016-06-13,6.6,81
2016-06-14,12.8,82
2016-06-15,3.2,83
2016-06-16,19,84
2016-06-17,0.6,85
2016-06-18,7.4,86
2016-06-19,0,87
2016-06-20,4,88
2016-06-21,1.2,89
2016-06-22,0.2,90
2016-06-23,0,91
2016-06-24,0.2,92
2016-06-25,26,93
2016-06-26,0.2,94
2016-06-27,0,95
2016-06-28,1.2,96
2016-06-29,0,97
2016-06-30,0,98
2016-07-01,0,99
2016-07-02,0,100
2016-07-03,0,101
2016-07-04,0,102
2016-07-05,0.2,103
2016-07-06,0,104
2016-07-07,0,105
2016-07-08,0,106
2016-07-09,0,107
2016-07-10,0,108
2016-07-11,7,109
